simuround,tissue,noise,marker,manual_annotation,manual_CLname,manual_CLID,gpt-4o-2024-08-06_annotation,gpt-4o-2024-08-06_CLID,RAG_cell_type
3,Lung,1.0,"AQP1,GENE68,GENE34,IFI27,GENE77,GENE100,GENE65,TM4SF1,CLDN5,GENE35,CDH5,GENE80,GENE71,GENE4,EGFL7,HYAL2,CLEC14A,GENE44,PECAM1,SPARCL1",EC capillary,capillary endothelial cell,CL:0002144,Endothelial cells,CL:0000115,endothelial cell
3,Lung,1.0,"SDPR,GENE1,GENE19,CCL21,ECSCR,GENE40,IGFBP7,MMRN1,GENE12,PPFIBP1,TM4SF1,CLDN5,GENE29,GENE91,GENE74,GENE14,GENE66,RAMP2,GENE25,GNG11",Lymphatic EC mature,,,Endothelial cells,CL:0000115,Endothelial cell
3,Lung,1.0,"SDPR,TCF4,CCL21,GENE40,IGFBP7,GENE43,GENE100,GENE18,GENE20,AKAP12,GENE47,CLDN5,GENE57,GENE35,GENE54,GENE5,TFPI,TFF3,GNG11,TIMP3",Lymphatic EC differentiating,,,Fibroblast-like cells,CL:4028004,unknown
3,Lung,1.0,"GENE7,HLA-DQB1,GENE27,GENE33,HLA-DPB1,CORO1A,GENE51,GENE89,MS4A6A,GENE78,GENE93,HLA-DQA1,ITGB2,GPR183,GENE3,GENE37,HLA-DPA1,HLA-DRB1,HLA-DMA,GENE83",Dendritic cells,dendritic cell,CL:0000451,Dendritic cells,CL:0000451,dendritic cell
3,Lung,1.0,"GENE7,TPM2,GENE8,GENE9,GENE90,CTGF,CYR61,GPX3,IGFBP5,GENE35,GENE11,GENE76,GENE2,GENE97,TAGLN,CALD1,MT1X,GENE60,SPARCL1,PRELP",Myofibroblasts,myofibroblast cell,CL:0000186,Smooth muscle cells,CL:0000192,fibroblast
3,Lung,1.0,"GENE9,HPGDS,GENE88,TPSAB1,GATA2,VWA5A,C1orf186,CPA3,GENE12,TPSB2,KIT,GENE52,GENE87,GENE96,GENE97,RGS13,GENE36,GENE37,MS4A2,GENE41",Mast cells,mast cell,CL:0000097,Mast cells,CL:0000097,mast cell
3,Lung,1.0,"GENE1,GENE19,TPM2,GENE94,GENE40,IGFBP7,ACTG2,GENE43,NEXN,GENE95,PPP1R14A,DES,PLN,GENE57,FLNA,GENE76,SELM,LMOD1,GENE55,GENE83",Fibromyocytes,,,Mesothelial cells,CL:0000077,unknown
3,Lung,1.0,"ECSCR,GENE32,COX20,GENE53,EID1,TUBB,ARPC1A,GENE54,HMGN1,GENE96,GENE85,LSM2,GENE59,HMGN2,S100A16,GENE37,GENE25,GENE60,MARCKS,GENE41",Lymphatic EC proliferating,,,Endothelial cells,CL:0000115,neutrophil
3,Lung,1.0,"GENE1,GENE30,GENE34,MMRN1,SEMA3A,GENE28,FBXL7,TSHZ2,GENE12,PPFIBP1,GENE56,PKHD1L1,KALRN,GENE42,CD36,GENE14,LDB2,ST6GALNAC3,GENE23,GENE41",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,Mesothelial cells,CL:0000077,unknown
3,Lung,1.0,"GENE94,NCKAP5,KHDRBS2,LAMA3,EMP2,GENE6,GENE64,GENE45,GENE13,GENE65,GENE5,GENE17,GENE74,LIMCH1,ST6GALNAC5,LMO7,RAB11FIP1,GENE25,RBMS3,NTM",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,Fibroblast-like cells,CL:4028004,unknown cell type
3,Lung,1.0,"GENE26,MACROD2,GENE68,GENE40,SFTPC,ABCA3,ANK3,GENE43,PDE4D,ZNF385B,GENE95,LRRK2,ERBB4,AUTS2,GENE62,GENE69,GENE59,GENE36,SFTPB,GENE23",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,Alveolar type II cells,CL:0002063,alveolar epithelial cell type II
3,Lung,1.0,"MACROD2,GENE98,GENE28,TP63,GENE51,GLIS3,SSBP2,GENE18,EYA2,GENE46,XPR1,CACHD1,GENE65,GENE67,GENE17,GENE96,KRT17,GENE31,RBMS3,FAF1",Epithelial cell (basal),basal cell,CL:0000646,Basal cells,CL:0000646,unknown
3,Lung,1.0,"GENE30,GENE40,AGBL4,CFAP54,GENE15,LRRIQ1,C4orf22,TMEM232,DNAH12,DNAH7,GENE79,GENE78,HYDIN,GENE10,GENE49,CDHR3,GENE31,STK33,GENE81,GENE99",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,Ciliated Epithelial Cells,CL:0000067,goblet cell
3,Lung,1.0,"MACROD2,SCGB3A2,GENE61,GENE33,GENE40,GENE70,BMPR1B,GENE53,GENE100,CDK14,GENE15,GENE95,ERBB4,NEDD4L,GENE13,MECOM,GENE92,KIAA1217,SFTPB,KIAA1324",Epithelial cell (club),club cell,CL:0000158,Club Cells,CL:0000158,alveolar epithelial cell
3,Lung,1.0,"GENE27,GENE90,GENE40,GENE100,FBXW7,PLCG2,GENE18,ST6GAL1,RALGPS2,PDK1,GENE78,GENE10,GENE29,GENE96,FCHSD2,GENE21,CREB3L2,ARHGAP15,DENND5B,MEF2C",Immune (B cell),B cell,CL:0000236,Type II Alveolar Epithelial Cells,CL:0002063,unknown
3,Lung,1.0,"GENE1,GENE9,GENE94,PIP4K2A,GENE86,SKAP1,GENE63,GENE78,B2M,GENE67,GENE56,PRKCH,KLRD1,PARP8,GENE97,AOAH,CD247,FYN,GENE60,ARHGAP15",Immune (NK cell),natural killer cell,CL:0000623,Macrophages,CL:0000235,unknown cell type
3,Lung,1.0,"GENE90,PTPRC,SKAP1,GENE15,GENE12,SYTL3,ITK,THEMIS,GENE62,GENE52,GENE69,GENE5,GENE42,PARP8,FYN,FKBP5,GENE25,ARHGAP15,BCL2,GENE55",Immune (T cell),T cell,CL:0000084,Leukocytes,CL:0000738,eosinophil
3,Lung,1.0,"GENE33,TFRC,PLXDC2,MSR1,GENE51,ZEB2,FMNL2,SLC11A1,GENE18,GENE6,GENE64,GENE45,DOCK8,GENE50,GENE62,GENE57,PPARG,RNF149,GPCPD1,GENE99",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,Macrophages,CL:0000235,unknown
3,Lung,1.0,"GENE9,SLC24A3,GENE28,SRGN,GENE75,TPSAB1,SAMSN1,TPSB2,SYTL3,GENE13,KIT,GENE52,IL18R1,FER,GENE71,GENE91,GENE44,ARHGAP15,GENE81,GENE55",Immune (mast cell),mast cell,CL:0000097,Mast Cells,CL:0000097,mast cell
3,Lung,1.0,"GENE58,GENE46,EBF1,GENE22,GENE79,GENE24,GENE69,GENE17,GENE71,GENE96,PRKG1,ACTA2,GENE2,LPP,CALD1,INPP4B,CACNA1C,TPM1,DMD,MYH11",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192",B Cells,CL:0000236,smooth muscle cell
3,Lung,1.0,"TCF4,GENE40,CALCRL,PTPRM,GENE89,PTPRB,GENE45,GENE65,GENE57,GENE93,GENE49,GENE76,GENE74,GENE38,EGFL7,LDB2,ST6GALNAC3,TIMP3,PECAM1,EPAS1",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,Endothelial Cells,CL:0000115,endothelial cell
3,Lung,1.0,"GENE1,GENE9,GENE8,GENE98,GENE77,PLXDC2,GENE15,GENE89,LAMA2,PLEKHH2,ARHGAP6,GENE64,ROBO2,PRKG1,SLIT2,GENE60,GENE48,LSAMP,RBMS3,RORA",Fibroblast,fibroblast,CL:0000057,Macrophages,CL:0000235,unknown
3,Lung,1.0,"TBXAS1,GENE94,GENE8,GENE98,GENE90,SRGN,PLXDC2,ZEB2,GENE15,PIK3R5,SLC8A1,GENE13,CD74,GENE71,GENE76,GENE3,FKBP5,CHST11,CTSB,GENE41",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235",platelet,CL:0000233,mast cell
3,Lung,1.0,"GENE70,GENE28,FOXO1,GENE51,GENE63,GENE58,GHR,ADIPOQ,PLIN1,EBF1,PPARG,ACSL1,GENE59,PLIN2,LPIN1,GENE37,GENE60,GENE92,G0S2,GENE73",Adipocyte,fat cell,CL:0000136,fibroblast,CL:0000057,adipocyte
3,Lung,1.0,"GENE82,GENE50,GENE65,AGER,EMP2,GENE95,GENE81,CAV1,PDPN,HOPX",Alveolar Type I,type I pneumocyte,CL:0002062,alveolar type I epithelial cell,CL:0002062,alveolar type I cell
3,Lung,1.0,"GENE45,GENE100,NKX2-1,SLC34A2,LAMP3,SFTPC,GENE70,GENE12,SFTPB,GENE51",Alveolar Type II,type II pneumocyte,CL:0002063,alveolar type II epithelial cell,CL:0002063,alveolar epithelial cell
3,Lung,1.0,"GENE94,GENE89,CD24,GENE37,CXCR3,CD1c,FAS,GENE20,CR2,GENE41",B cell_memory,memory B cell,CL:0000787,dendritic cell,CL:0000451,pulmonary alveolar type 2 cell
3,Lung,1.0,"GENE45,GENE65,GENE89,TUBA1A,HYDIN,FAM92B,GENE87,GENE60,FOXJ1,DNAH5,DNAI1,GENE91,DNAI2,CDHR3,GENE53,GENE51",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,ciliated epithelial cell,CL:0000067,ciliated epithelial cell
3,Lung,1.0,"GENE13,GENE100,SCGB3A2,GENE68,SCGB1A1,BPIFA1,GENE91,GENE28,SCGB3A1,GENE43,SLPI,MUC5B,GENE64,CYP2F2",Club Epithelial,club cell,CL:0000158,club cell,CL:0000158,goblet cell
3,Lung,1.0,"GENE1,GENE39,GENE19,GENE61,GENE33,NEGR1,COL4A1,GENE34,GENE53,GENE82,GENE100,COL5A1,GENE15,COL1A1,IGFBP5,FBN1,VIM,COL5A2,IL33,GENE6,GENE47,GENE62,HGF,GENE78,COL18A1,COL6A3,GENE67,GENE24,GENE11,FBLN1,DCN,GENE91,GENE74,SLIT2,FN1,GENE4,DDR2,CCN2,GENE66,IGFBP3,COL6A6,GENE37,IL6,GENE25,COL3A1,COL6A1,COL1A2,COL6A2,GENE92,GENE99",Fibroblast,fibroblast,CL:0000057,neuron,CL:0000540,pulmonary alveolar type 2 cell
3,Lung,1.0,"GENE45,GENE39,RELN,GENE52,GENE100,FLT4,CCL21,MMRN1,PROX1,GENE91,LYVE1,GENE83",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,CL:0000115,unknown
3,Lung,1.0,"GENE26,GENE39,GENE8,LYZ,GENE27,GENE33,C1QA,PTPRC,GENE28,LYVE1,CD68,MSR1,GENE53,SLC11A1,MERTK,CPM,CD163,MS4A6A,GENE79,GENE35,RBPJ,MS4A4A,CD74,GENE80,GENE69,GENE91,GENE96,CD36,GENE49,GENE85,GENE76,GENE38,GENE4,GENE66,MR1,CSF1R,MRC1,GENE23",Macrophage,macrophage,CL:0000235,macrophage,CL:0000235,macrophage
3,Lung,1.0,"KIT,GENE62,GENE58,GENE67,HDC,GENE80,GENE10,TPSB2,CD69,FCER1A,TPSAB1,GENE99",Mast Cell,mast cell,CL:0000097,Mast Cells,CL:0000097,mast cell
3,Lung,1.0,"GENE26,MYO1B,GENE100,GENE97,GENE61,GENE89,CSPG4,GENE78,MCAM,GENE60,GENE77,GENE49,ACTA2,ANPEP,DES,PDGFRB",Pericyte,pericyte,CL:0000669,Epithelial Cells,CL:0000066,pulmonary alveolar type 2 cell
3,Lung,1.0,"MYOCD,GENE8,GENE33,GENE70,SMTN,ACTG2,GUCY1A3,GENE15,GENE18,GENE12,PALLD,GENE46,ACTN1,VCL,DES,GENE22,GENE93,GENE96,GUCY1B3,GENE85,ACTA2,CNN1,GENE4,TAGLN,GENE66,GENE83,MYH11,MYL9",Smooth Muscle,smooth muscle cell,CL:0000192,Smooth Muscle Cells,CL:0000192,smooth muscle cell
3,Lung,1.0,"PTPRC,GENE77,SKAP1,NKG7,TRAC,IL7R,GENE46,CD3E,CD96,THEMIS,GENE45,CD3D,GENE57,CD3G,GENE93,GENE11,GENE5,GENE17,GENE71,GENE31,CD247,TRBC1,GENE25,CD69,GENE48,GENE55",T cell,T cell,CL:0000084,T Cells,CL:0000084,cd8+ mem/eff t cell
3,Lung,1.0,"GENE26,GENE30,NOSTRIN,VWF,EPHB4,GENE16,GENE15,GENE89,RAMP3,PTPRB,GENE13,CLDN5,GENE87,BACE2,GENE31,CD300LG,GENE66,LDB2,PECAM1,GENE73",Vascular Endothelial,endothelial cell of vascular tree,CL:0002139,Endothelial Cells,CL:0000115,endothelial cell
3,Lung,1.0,"GENE17,NAPSA,SFTPA1,SFTPA2,SFTPD,SFTA2,SFTPB,SLC34A2,PGC,HOPX,MUC1",type ii pneumocyte,type II pneumocyte,CL:0002063,Alveolar Type II Cells,CL:0002063,alveolar epithelial cell
3,Lung,1.0,"GENE65,IL1R2,S100A12,FCGR3B,CXCR2,MTND5P32,PROK2,CD177,MMP25,OLAH,MGAM",neutrophil,neutrophil,CL:0000775,Neutrophils,CL:0000775,nonclassical monocyte
3,Lung,1.0,"IL7R,IL32,CD3D,CD69,CD3E,TRAC,CXCR4,CD2,CD3G,TRBC2,GENE78","cd4-positive, alpha-beta t cell","CD4-positive, alpha-beta T cell",CL:0000624,T Cells,CL:0000084,T cell
3,Lung,1.0,"GENE7,CCL5,GZMA,IL32,CCL4,NKG7,CD3D,CD2,KLRD1,CD3E,GNLY","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell",CL:0000625,T Cells,CL:0000084,T cell
3,Lung,1.0,"GNLY,KLRD1,GZMB,PRF1,GZMA,FGFBP2,CST7,CD247,KLRF1,KLRB1,GENE46",nk cell,natural killer cell,CL:0000623,Natural Killer (NK) Cells,CL:0000623,Natural Killer (NK) cell
3,Lung,1.0,"GENE24,RBP5,SELE,CCL14,ZNF385D,CYTL1,POSTN,PLVAP,ADAMTS4,NEURL1B,EXOC3L2",bronchial vessel endothelial cell,,,Fibroblasts,CL:0000057,unknown
3,Lung,1.0,"GENE67,ACTG2,DES,ADRA2C,FOXC2,CNN1,JPH2,MYH11,CCN5,HSPB6,AC100803.2",smooth muscle cell,smooth muscle cell,CL:0000192,Smooth muscle cells,CL:0000192,pulmonary alveolar type 2 cell
3,Lung,1.0,"DCN,IGFBP6,FBLN1,PLA2G2A,C1S,MFAP4,MFAP5,C1R,SERPINF1,MGP,GENE10",adventitial cell,adventitial cell,CL:0002503,Fibroblasts,CL:0000057,fibroblast
3,Lung,1.0,"C1QA,MARCO,ACP5,MS4A7,APOC1,C1QB,MRC1,APOE,VSIG4,FABP4,GENE32",macrophage,macrophage,CL:0000235,Macrophages,CL:0000235,macrophage
3,Lung,1.0,"TPSB2,TPSAB1,CPA3,MS4A2,RHEX,HPGDS,KIT,CD69,GATA2,VWA5A,GENE18",basophil,basophil,CL:0000767,Mast cells,CL:0000097,mast cell
3,Lung,1.0,"S100A8,VCAN,FCN1,S100A12,S100A9,MNDA,FGL2,COTL1,CD300E,VSIR,GENE99",classical monocyte,classical monocyte,CL:0000860,Monocytes,CL:0000576,nonclassical monocyte
3,Lung,1.0,"GENE71,PTPRB,CXCL12,GJA5,DKK2,NPR3,SERPINE2,SSTR1,NOS1,SOX17,MMRN2",endothelial cell of artery,endothelial cell of artery,CL:1000413,Endothelial cells,CL:0000115,unknown
3,Lung,1.0,"CAPS,TMEM190,C20orf85,C9orf24,TPPP3,RSPH1,C11orf88,C1orf194,PIFO,TSPAN1,GENE30",lung ciliated cell,lung ciliated cell,CL:1000271,Ciliated epithelial cells,CL:0000067,goblet cell
3,Lung,1.0,"FCER1A,CD1C,GPR183,S100B,CLEC10A,CD1E,FCGR2B,PKIB,CST7,CLEC5A,GENE89",dendritic cell,dendritic cell,CL:0000451,Dendritic cells,CL:0000451,dendritic cell
3,Lung,1.0,"GENE94,BPIFB1,LCN2,SCGB1A1,MSMB,SCGB3A1,WFDC2,TFF3,CP,SERPINB3,TSPAN1",respiratory goblet cell,respiratory goblet cell,CL:0002370,Club cells,CL:0000158,goblet_cell
3,Lung,1.0,"GENE99,S100A2,MIR205HG,KRT5,KRT15,KRT19,KRT17,ALDH3A1,PERP,TACSTD2,IGFBP2",basal cell,basal cell,CL:0000646,Basal cells,CL:0000646,basal epithelial cell
3,Lung,1.0,"GENE29,JCHAIN,MZB1,IGHG3,DERL3,IGHG2,CD79A,IGHG4,IGHA2,TNFRSF17,SPAG4",plasma cell,plasma cell,CL:0000786,Plasma cells,CL:0000786,basal cell
3,Lung,1.0,"GENE92,CD79A,MS4A1,TNFRSF13C,IGHM,VPREB3,TNFRSF13B,BLK,LINC01781,CD19,PAX5",b cell,B cell,CL:0000236,B cells,CL:0000236,B cell
3,Lung,1.0,"GENE20,PRR4,PRB3,TCN1,C6orf58,LPO,TTYH1,LINC01829,SLC5A1,PRB1,ANO1",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,Secretory cells,CL:0000151,goblet cell
3,Lung,1.0,"GENE81,FGL2,MS4A6A,CD163,MAFB,CSF1R,FCGR3A,AIF1,RNASE6,LST1,HCLS1",non-classical monocyte,non-classical monocyte,CL:0000875,Macrophages,CL:0000235,nonclassical monocyte
3,Lung,1.0,"GENE67,FCN3,MT1M,TIMP3,RAMP2,SLC6A4,VWF,CLDN5,FAM107A,CALCRL,LRRC32",capillary endothelial cell,capillary endothelial cell,CL:0002144,Endothelial cells,CL:0000115,unknown
3,Lung,1.0,"GENE91,EDNRB,CLDN5,IL1RL1,CA4,EMCN,GNG11,TIMP3,HPGD,SPARCL1,RAMP2",capillary aerocyte,,,Endothelial cells,CL:0000115,endothelial cell
3,Lung,1.0,"RTKN2,SCEL,NTM,MS4A15,NCKAP5,PKDCC,ITLN2,UPK3B,MYRF,ST6GALNAC5,GENE74",type i pneumocyte,type I pneumocyte,CL:0002062,Goblet cells,CL:0000160,goblet cell
3,Lung,1.0,"ACKR1,VWF,C7,SPARCL1,IGFBP7,RAMP3,TIMP3,PRSS23,LIFR,CLU,GENE97",vein endothelial cell,vein endothelial cell,CL:0002543,Endothelial cells,CL:0000115,endothelial cell
3,Lung,1.0,"DCN,LUM,ADH1B,MGP,FBLN1,C1S,MFAP4,RARRES2,C7,PTGDS,GENE20",alveolar fibroblast,,,Fibroblasts,CL:0000057,unknown
3,Lung,1.0,"CCL21,MMRN1,PROX1,SEMA3D,FOXC2,SCN3B,GPR182,RELN,HOXD9,STAB2,GENE86",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,Lymphatic Endothelial Cells,CL:0002138,unknown cell type
3,Lung,1.0,"GENE15,MYH11,PPP1R14A,ACTG2,CRYAB,DES,LMOD1,CNN1,PLAC9,CARMN,PLN",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,Smooth Muscle Cells,CL:0000192,smooth muscle cell
3,Lung,1.0,"GENE50,AL139020.1,PLD4,MZB1,LILRA4,SCT,SPIB,CLEC4C,LAMP5,FAM129C,AL357143.1",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,Plasmacytoid Dendritic Cells,CL:0000784,unknown
3,Lung,1.0,"SCGB3A2,CYP2B7P,CEACAM6,WFDC2,FOLR1,GPRC5A,NEDD4L,PIGR,ELF3,SFTPB,GENE58",club cell,club cell,CL:0000158,Bronchiolar Epithelial Cells,CL:4033017,club cell
3,Lung,1.0,"ACKR1,SPARCL1,VWF,PLVAP,IGFBP7,NPDC1,CLDN5,LIFR,C7,CLU,GENE60",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,Endothelial Cells,CL:0000115,endothelial cell
3,Lung,1.0,"PPP1R14A,CCN5,BGN,MYH11,PDGFRB,COX4I2,C2orf40,PRELP,LMOD1,GJA4,GENE73",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,Pericytes or Vascular Smooth Muscle Cells,CL:0000359,endothelial cell of artery
3,Lung,1.0,"GENE85,AC005821.1,LRRC38,MKRN9P,KCTD8,RSPO1,GPR1,SYT4,PLPPR4,LINC01902,FABP7",myofibroblast cell,myofibroblast cell,CL:0000186,Immune or Stem Cells,CL:0000034,unknown
3,Lung,1.0,"COX4I2,TPM2,BGN,PDGFRB,HIGD1B,PPP1R14A,INMT,KCNK3,RGN,NDUFA4L2,GENE12",pericyte cell,pericyte,CL:0000669,Pericytes or Vascular Smooth Muscle Cells,CL:0000359,pulmonary alveolar type 2 cell
3,Lung,1.0,"ITLN1,PRG4,HAS1,CPB1,BCHE,VIPR2,BNC1,SYT4,ROR2,RSPO1,GENE68",mesothelial cell,mesothelial cell,CL:0000077,Goblet Cells,CL:0000160,goblet cell
3,Lung,1.0,"GENE21,AC009269.2,SCN7A,BMP5,AL135910.1,SGIP1,CARMN,CACNA1C,COL1A2,ABCA6,TARID",fibroblast,fibroblast,CL:0000057,Unknown Immune or Stromal Cells,CL:0000499,unknown
3,Lung,1.0,"GENE29,FCN1,RNASE2,CD300E,VCAN,FGL2,LILRB2,MPEG1,CORO1A,LILRA1,AIF1",intermediate monocyte,intermediate monocyte,CL:0002393,Monocyte-derived macrophages,CL:0011031,macrophage
3,Lung,1.0,"ASCL3,CEL,HEPACAM2,ATP6V1G3,CLCNKB,CLNK,LINC01187,TMPRSS11E,PROX1,DGKI,GENE90",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,Ionocyte,CL:0005006,unknown cell type
4,Lung,0.25,"ARHGEF26,LMO7,AGER,EMP2,GENE37,RTKN2,GPRC5A,SPOCK2,DST,SCEL,GENE20,LAMA3",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,Alveolar epithelial cell type 1 (AT1),CL:0002062,pulmonary alveolar type 2 cell
4,Lung,0.25,"GENE65,MS4A1,LINC00926,BLK,SP140,GENE95,CD79A,BANK1,CD22,VPREB3,CD79B,ADAM28",B,B cell,CL:0000236,B cells,CL:0000236,unidentified cell type
4,Lung,0.25,"CLDN1,S100A2,GENE51,KRT15,KRT5,FHL2,DST,KRT17,PERP,GENE77,ITGA2,KRT19",Basal,basal cell,CL:0000646,Basal cells,CL:0000646,basal_cell
4,Lung,0.25,"GENE82,CSF3R,S100A9,S100A8,CTSS,METTL9,CD99,VCAN,S100A12,GENE43,FCN1,CD300E",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,Neutrophils,CL:0000775,neutrophil
4,Lung,0.25,"CD2,MALAT1,BCL11B,CD6,GENE29,CAMK4,LEF1,TRAT1,IL7R,ITK,MAL,GENE14",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,T cells,CL:0000084,T-cell
4,Lung,0.25,"C20orf85,DNAH6,FAM92B,GENE10,GENE70,RSPH1,CCDC170,CAPS,ZMYND10,CDHR3,SNTN,FANK1",Ciliated,ciliated cell,CL:0000064,Ciliated cells,CL:0000064,ciliated epithelial cell
4,Lung,0.25,"FCGR2B,HLA-DMB,GENE58,HLA-DQA1,CLEC10A,CSF2RA,GPR183,FPR3,HLA-DPB1,RGS1,GENE53,MS4A6A",Dendritic,dendritic cell,CL:0000451,Dendritic cells,CL:0000451,nonclassical monocyte
4,Lung,0.25,"C1S,LUM,ABLIM1,CFD,C3,C1R,GENE27,FBLN1,GENE29,DCN,SLIT2,ADH1B",Fibroblast,fibroblast,CL:0000057,Fibroblasts,CL:0000057,unknown
4,Lung,0.25,"TFF3,GENE1,TFPI,GENE89,CCL21,IGFBP7,MMRN1,PKHD1L1,PROX1,PPFIBP1,TIMP3,TBX1",Lymphatic,,,Club Cells,CL:0000158,lung microvascular endothelial cell
4,Lung,0.25,"APOC1,C1QB,C1QA,VSIG4,SLCO2B1,ACP5,ITGAX,GENE77,GENE2,GPD1,MARCO,OLR1",Macrophage,macrophage,CL:0000235,Macrophages,CL:0000235,goblet cell
4,Lung,0.25,"KLRF1,GNLY,GZMB,FCGR3A,NKG7,GENE77,GENE42,PYHIN1,KLRD1,SPON2,PRF1,CD247",Natural Killer,natural killer cell,CL:0000623,Natural Killer Cells,CL:0000623,natural_killer_cell
4,Lung,0.25,"PRDX4,MANF,SSR4,GENE63,XBP1,POU2AF1,TNFRSF17,HSP90B1,MZB1,DERL3,SEC11C,GENE83",Plasma,plasma cell,CL:0000786,B Lymphocytes,CL:0000236,b cell
4,Lung,0.25,"GENE47,GENE52,SFTPA2,SLC34A2,SFTPC,LAMP3,ABCA3,SFTPA1,SFTPD,SFTPB,NAPSA,LPCAT1",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,Alveolar Type II Cells,CL:0002063,pulmonary alveolar type 2 cell
4,Lung,0.25,"GENE82,KIT,VWA5A,CPA3,HPGDS,GRAP2,GENE40,HDC,CD44,MS4A2,TPSAB1,GATA2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",Mast Cells,CL:0000097,mast cell
4,Lung,0.25,"LILRB2,GENE58,COTL1,RPS19,LST1,AIF1,FCGR3A,GENE92,SAT1,RHOC,FCN1,IFITM2",CD16+ Monocyte,,,Monocytes,CL:0000576,nonclassical monocyte
4,Lung,0.25,"GENE26,CDC42EP1,NOSTRIN,PODXL,CDH5,RAMP3,BTNL9,CD81,FCN3,EPAS1,FLNB,GENE55",Capillary,,,Endothelial Cells,CL:0000115,unknown
4,Lung,0.25,"CD3D,GENE62,GZMH,CD3G,CD8B,CCL5,RPL34,NKG7,CD8A,GZMA,RPS27,GENE4",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,Cytotoxic T Lymphocytes,CL:0000910,T cell
4,Lung,0.25,"SCGB3A2,GENE89,DSTN,CYB5A,CEACAM6,GENE42,PIGR,CTSE,SFTPB,WFDC2,C16orf89,KIAA1324",Club,club cell,CL:0000158,Club Cells,CL:0000158,club cell
4,Lung,0.25,"CALD1,ASPN,COL6A3,POSTN,LTBP1,BGN,COL3A1,COL1A1,COL1A2,GENE29,GENE49,ITGBL1",Myofibroblast,myofibroblast cell,CL:0000186,Fibroblast,CL:0000057,fibroblast
4,Lung,0.25,"PTPRE,GZMB,IRF7,TYROBP,GENE67,GENE80,PLD4,NPC2,PPP1R14B,IL3RA,IRF4,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,Immune cells,CL:0000738,natural killer t cell
4,Lung,0.25,"TPX2,BIRC5,GENE7,NUSAP1,STMN1,UBE2C,TYMS,ANLN,KPNA2,CDK1,H2AFZ,GENE53",Proliferating Macrophage,,,Proliferating cells,CL:4033068,Unknown cell type
4,Lung,0.25,"BIRC5,GENE62,NUSAP1,KIF2C,SMC4,UBE2C,GENE95,H2AFV,AURKB,CENPF,HMGB2,TOP2A",Proliferating NK/T,,,Proliferating cells,CL:4033068,proliferating cell
4,Lung,0.25,"POSTN,GENE89,VWF,COL15A1,ZNF385D,ENPP2,PLVAP,EMCN,GENE2,INHBB,SPARCL1,SPRY1",Bronchial Vessel,,,Endothelial cells,CL:0000115,fibroblast
4,Lung,0.25,"GENE82,GENE50,BPIFB1,SAA1,SCGB1A1,RARRES1,MSMB,SCGB3A1,SLPI,LCN2,WFDC2,MUC5B",Mucous,,,Secretory cells,CL:0000151,goblet cell
4,Lung,0.25,"PTPRB,PRSS23,GENE86,GENE87,TGM2,VWF,LIFR,SELP,PLA1A,CPE,SRPX,SLCO2A1",Vein,,,Endothelial cells,CL:0000115,uncertain/mixed cell type
4,Lung,0.25,"CHN1,CALD1,COL4A2,GENE93,NID1,COL4A1,LAMB1,COX4I2,TACC1,PDGFRB,GENE51,LAMC3",Pericyte,pericyte,CL:0000669,Fibroblast,CL:0000057,fibroblast
4,Lung,0.25,"CALD1,TPM2,PLN,DSTN,GENE5,GENE60,CSRP1,ACTA2,CNN1,DES,MYH11,MYL9",Smooth Muscle,smooth muscle cell,CL:0000192,Smooth muscle cells,CL:0000192,smooth muscle cell
4,Lung,0.25,"PTPRB,DKK2,HEY1,GENE79,GJA5,FBLN5,SEMA3G,EFNB2,BMX,GENE74,EPAS1,ARGLU1",Artery,,,Endothelial cells,CL:0000115,endothelial cell
